Artist,Nacionality,Gender,BirthYear,DeathYear,TotalArtwork,Categories
Robert Arneson,American,Male,1930,1992,2,"{""Drawings"": 1, ""Prints & Illustrated Books"": 1}"
Doroteo Arnaiz,Spanish,Male,1936,-1,1,"{""Prints & Illustrated Books"": 1}"
Bill Arnold,American,Male,1941,-1,26,"{""Photography"": 26}"
Charles Arnoldi,American,Male,1946,-1,1,"{""Drawings"": 1}"
Per Arnoldi,Danish,Male,1941,-1,18,"{""Architecture & Design"": 18}"
Bill Aron,American,Male,1941,-1,1,"{""Photography"": 1}"
David Aronson,American,Male,1923,-1,1,"{""Architecture & Design"": 1}"
Irene Aronson,American,Female,1918,-1,1,"{""Prints & Illustrated Books"": 1}"
Jean (Hans) Arp,French,Male,1886,1966,217,"{""Architecture & Design"": 2, ""Prints & Illustrated Books"": 188, ""Drawings"": 5, ""Painting & Sculpture"": 22}"
Jüri Arrak,Estonian,Male,1936,-1,1,"{""Prints & Illustrated Books"": 1}"
J. Arrelano Fischer,Mexican,Male,1911,1995,1,"{""Prints & Illustrated Books"": 1}"
Folke Arstrom,Swedish,Male,1907,1997,1,"{""Architecture & Design"": 1}"
Cristobal Arteche,Spanish,Male,1900,1964,1,"{""Architecture & Design"": 1}"
Richard Artschwager,American,Male,1923,2013,53,"{""Drawings"": 12, ""Photography"": 2, ""Prints & Illustrated Books"": 23, ""Painting & Sculpture"": 16}"
Ruth Asawa,American,Female,1926,2013,55,"{""Prints & Illustrated Books"": 55}"
Charles Robert Ashbee,British,Male,1863,1942,1,"{""Architecture & Design"": 1}"
Donald Ashcraft,American,Male,1927,-1,1,"{""Prints & Illustrated Books"": 1}"
E. M. Ashe,American,Male,1867,1941,1,"{""Architecture & Design"": 1}"
Erik Gunnar Asplund,Swedish,Male,1885,1940,33,"{""Architecture & Design"": 33}"
Geneviève Asse,French,Female,1923,-1,50,"{""Prints & Illustrated Books"": 50}"
Sergio Asti,Italian,Male,1926,-1,7,"{""Architecture & Design"": 7}"
Dana Atchley,American,Female,1941,2000,7,"{""Prints & Illustrated Books"": 7}"
Alvar Aalto,Finnish,Male,1898,1976,40,"{""Architecture & Design"": 40}"
Aino Aalto,Finnish,Female,1894,1949,1,"{""Architecture & Design"": 1}"
Eero Aarnio,Finnish,Male,1932,-1,2,"{""Architecture & Design"": 2}"
Jules Aarons,American,Male,1921,2008,2,"{""Photography"": 2}"
Magdalena Abakanowicz,Polish,Female,1930,-1,6,"{""Architecture & Design"": 1, ""Drawings"": 3, ""Painting & Sculpture"": 2}"
James Abbe,American,Male,1883,1973,1,"{""Photography"": 1}"
Jussuff Abbo,British,Male,1888,1953,2,"{""Prints & Illustrated Books"": 2}"
Berenice Abbott,American,Female,1898,1991,76,"{""Photography"": 76}"
Nobuya Abe,Japanese,Male,1913,1971,2,"{""Prints & Illustrated Books"": 2}"
Abe Shiro (pen Name: Suichiku),Japanese,Male,1900,-1,1,"{""Drawings"": 1}"
Sigmund Abeles,American,Male,1934,-1,1,"{""Prints & Illustrated Books"": 1}"
Raimund Abraham,American,Male,1933,2010,20,"{""Architecture & Design"": 20}"
Ivor Abrahams,British,Male,1935,-1,1,"{""Prints & Illustrated Books"": 1}"
Gerald Abramovitz,British,Male,1928,2011,1,"{""Architecture & Design"": 1}"
William Ross Abrams,American,Male,1920,2007,1,"{""Prints & Illustrated Books"": 1}"
Rodolfo Abularach,Guatemalan,Male,1933,-1,42,"{""Drawings"": 4, ""Prints & Illustrated Books"": 38}"
Vito Acconci,American,Male,1940,-1,51,"{""Prints & Illustrated Books"": 22, ""Drawings"": 6, ""Photography"": 2, ""Painting & Sculpture"": 2, ""Media and Performance Art"": 19}"
Milton Ackoff,American,Male,1915,-1,2,"{""Architecture & Design"": 2}"
Luis Alberto Acuña,Colombian,Male,1904,1994,1,"{""Prints & Illustrated Books"": 1}"
Henri Georges Adam,French,Male,1904,1967,17,"{""Prints & Illustrated Books"": 17}"
Antoine Samuel Adam-Salomon,French,Male,1818,1881,4,"{""Photography"": 4}"
Valerio Adami,Italian,Male,1935,-1,4,"{""Drawings"": 2, ""Prints & Illustrated Books"": 2}"
Ansel Adams,American,Male,1902,1984,290,"{""Photography"": 290}"
Alice Adams,American,Female,1930,-1,2,"{""Prints & Illustrated Books"": 1, ""Painting & Sculpture"": 1}"
Clinton Adams,American,Male,1918,2002,62,"{""Prints & Illustrated Books"": 62}"
Dacres Adams,British,Male,1864,1951,1,"{""Architecture & Design"": 1}"
Dennis Adams,American,Male,1948,-1,1,"{""Prints & Illustrated Books"": 1}"
Kenneth M. Adams,American,Male,1897,1966,1,"{""Prints & Illustrated Books"": 1}"
Robert Adams,American,Male,1937,-1,72,"{""Photography"": 72}"
Shelby Lee Adams,American,Female,1950,-1,1,"{""Photography"": 1}"
Charles Addams,American,Male,1912,1988,3,"{""Drawings"": 3}"
Allan Adler,American,Male,1916,2002,1,"{""Architecture & Design"": 1}"
Jankel Adler,Polish,Male,1895,1949,1,"{""Painting & Sculpture"": 1}"
Virginia Admiral,American,Female,1915,2000,1,"{""Painting & Sculpture"": 1}"
Pic Adrian,Romanian,Male,1910,-1,11,"{""Prints & Illustrated Books"": 11}"
Roy Adzak,British,Male,1927,1987,1,"{""Painting & Sculpture"": 1}"
Nicholas Africano,American,Male,1948,-1,2,"{""Photography"": 1, ""Painting & Sculpture"": 1}"
Afro (Afro Basaldella),Italian,Male,1912,1976,3,"{""Prints & Illustrated Books"": 1, ""Painting & Sculpture"": 2}"
Agam (Yaacov Agam),Israeli,Male,1928,-1,3,"{""Prints & Illustrated Books"": 1, ""Painting & Sculpture"": 2}"
Mehemed Fehmy Agha,American,Male,1896,1978,1,"{""Photography"": 1}"
Kathleen Agnoli,American,Female,1945,-1,2,"{""Photography"": 2}"
Peter Agostini,American,Male,1913,1993,1,"{""Drawings"": 1}"
Olympe Aguado de las Marismas,French,Male,1827,1894,3,"{""Photography"": 3}"
Dongkuk S. Ahn,American,Male,1937,2013,1,"{""Prints & Illustrated Books"": 1}"
Aarne Aho,Finnish,Male,1904,1978,1,"{""Prints & Illustrated Books"": 1}"
